Год,Тип обработки,GPS №,повторность,Размер сухого агрегата,Размеры фракций,"Вес образца, г",region
2019,ПП,Архангельский,4,>10,2-1,2.6400000000000006,архангельский
2019,ПП,Архангельский,4,>10,1-0.25,3.799999999999983,архангельский
2019,ПП,Архангельский,4,10-7,>7,2.6899999999999977,архангельский
2019,ПП,Архангельский,4,10-7,7-5,2.6000000000000085,архангельский
2019,ПП,Архангельский,4,10-7,5-4,2.289999999999992,архангельский
2019,ПП,Архангельский,4,10-7,4-3,1.7299999999999898,архангельский
2019,ПП,Архангельский,4,10-7,3-2,0.8899999999999864,архангельский
2019,ПП,Архангельский,4,10-7,2-1,2.4399999999999977,архангельский
2019,ПП,Архангельский,4,10-7,1-0.25,3.469999999999999,архангельский
2019,ПП,Архангельский,4,7-5,>5,2.780000000000001,архангельский
2019,ПП,Архангельский,4,7-5,5-4,1.4099999999999966,архангельский
2019,ПП,Архангельский,4,7-5,4-3,2.25,архангельский
2019,ПП,Архангельский,4,7-5,3-2,1.6899999999999977,архангельский
2019,ПП,Архангельский,4,7-5,2-1,1.7299999999999898,архангельский
2019,ПП,Архангельский,4,7-5,1-0.25,5.240000000000009,архангельский
2019,ПП,Архангельский,4,5-3,>3,2.9399999999999977,архангельский
2019,ПП,Архангельский,4,5-3,3-2,2.5999999999999943,архангельский
2019,ПП,Архангельский,4,5-3,2-1,3.3900000000000006,архангельский
2019,ПП,Архангельский,4,5-3,1-0.25,7.710000000000008,архангельский
2019,ПП,Архангельский,5,>10,>10,1.2700000000000102,архангельский
2019,ПП,Архангельский,5,>10,10-7,1.670000000000016,архангельский
2019,ПП,Архангельский,5,>10,7-5,2.460000000000008,архангельский
2019,ПП,Архангельский,5,>10,5-3,3.759999999999991,архангельский
2019,ПП,Архангельский,5,>10,3-2,1.3399999999999892,архангельский
2019,ПП,Архангельский,5,>10,2-1,2.1300000000000097,архангельский
2019,ПП,Архангельский,5,>10,1-0.25,4.27000000000001,архангельский
2019,ПП,Архангельский,5,10-7,>7,2.5500000000000114,архангельский
2019,ПП,Архангельский,5,10-7,7-5,2.0900000000000034,архангельский
2019,ПП,Архангельский,5,10-7,5-4,2.180000000000007,архангельский
2019,ПП,Архангельский,5,10-7,4-3,1.6099999999999994,архангельский
2019,ПП,Архангельский,5,10-7,3-2,1.210000000000008,архангельский
2019,ПП,Архангельский,5,10-7,2-1,1.6399999999999864,архангельский
2019,ПП,Архангельский,5,10-7,1-0.25,4.949999999999989,архангельский
2019,ПП,Архангельский,5,7-5,>5,3.9199999999999875,архангельский
2019,ПП,Архангельский,5,7-5,5-4,2.3900000000000006,архангельский
2019,ПП,Архангельский,5,7-5,4-3,2.8600000000000136,архангельский
2019,ПП,Архангельский,5,7-5,3-2,0.9300000000000068,архангельский
2019,ПП,Архангельский,5,7-5,2-1,1.9399999999999977,архангельский
2019,ПП,Архангельский,5,7-5,1-0.25,4.579999999999984,архангельский
2019,ПП,Архангельский,5,5-3,>3,4.090000000000003,архангельский
2019,ПП,Архангельский,5,5-3,3-2,2.7900000000000205,архангельский
2019,ПП,Архангельский,5,5-3,2-1,2.4299999999999926,архангельский
2019,ПП,Архангельский,5,5-3,1-0.25,4.599999999999994,архангельский
